intreno;butxt;xauthgrp;syst_num;status;objname;tipob;validfrom;validto;priznas;region;bezei;home_city;city;zzcitydistr;city2;region_city;street;num;vidpr;zz_vidpr;zz_spost;zz_peref;zz_dnperp;zz_doperp;currtxt;elorgst_text;blktx;grpodr;vsp_num;vsp_name;statisp;curpriz;podrvalfrom;podrvalto;zz_objcat;zzelorgst_text;orgunit_text;blkid_easup_txt;statusesq;zz_priznas;segmentt;subsegmentt;irrate_ch;elorgst;grpodr_;usgfunction;xmusgfunction;zz_prport;zz_prpl;k4_koef_ch;first_line_house;posnr;bukrs;objnr;zz_klasz;objnr_ao;factusing;branc;segment;obsh_plosh;osnov_plosh;vspom_plosh;proch_plosh;plosh_v_ar;neis_plosh;osn_obsh;vspom_obsh;org_pm;teh_pm;balans_v;ostat_v;rinoch_v;arend_st;no_nds_st;nds;obespech;val_arend_st;val_no_nds_st;val_nds;perem_ap;obespech_z;schet_podr;vspplp;vspshch;obespech_p;schet_zdn;neis_square;orgunit;blkid_easup;orgunit_square;quan;irrate;k4_koef;zz_lattitude;zz_longitude;ctl_action;ctl_validfrom;ctl_validto;ctl_pa_loading;archive_name;file_name;ctl_loading
IB00100042152;Дальневосточный банк;Приморское отд. №8635;7000/1/1062;В пользовании;8635/0307, г Лесозаводск, ул Калининская,д.22;Здание/помещение  (нежилое);1997-03-11;9999-12-31;Д – город с населением <100 тыс. жителей;25;край Приморский;;г Лесозаводск;;;;ул Калининская;зд22;Собственность;01;Договор купли-продажи;Переформатирование завершено;2012-09-21;2013-09-30;;;Розничный бизнес;ГРУППА C. Технологические площади;;;;Нет;2026-01-20;2026-12-31;B;ВСП РБ: Базовое подразделение;Универсальный доп.офис №8635/0307;Сеть продаж;Используется;04;Инженерно-хозяйственный;Инженерно-хозяйственный;0,00;01;03;01;Служебное;X;;-;X;0000000000;7000;IB70000000000100001062;02;I000000000000000825628;12;8635;12;63.1000;296.8000;163.1000;0.0000;0.0000;0.0000;470.3645;258.4786;0.0000;0.0000;1321.5669;1295.1354;1255.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.0000;1;0.0000;0.0000;0.0000;0;0.0000;10241949;38;54.5272;0.0000;0.00;1.0000000000;45.471157;133.402011;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042154;Дальневосточный банк;Приморское отд. №8635;7000/1/1066;В пользовании;7718/047/8635/0281-с г.Дальнегорск бульвар Полины Осипенко 44А;Здание/помещение  (нежилое);2002-12-31;9999-12-31;Д – город с населением <100 тыс. жителей;25;край Приморский;;г Дальнегорск;;;;ул Осипенко;зд44а;Собственность;01;Договор купли-продажи;Объекты в плане следующих лет;;;;;;ГРУППА C. Технологические площади;;;;Нет;2026-01-14;2026-12-31;B;Кассово-инкассаторский центр;"ДО №8635/0313 КИЦ ""Дальнегорск""";Сервисы;Используется;04;КИЦ;КИЦ;3.074,40;20;03;01;Служебное;X;;-;;0000000000;7000;IB70000000000100001066;02;I000000000000000825494;14;8635;14;101.3000;531.5000;205.0000;0.0000;18.9000;0.0000;524.6792;202.3692;0.0000;0.0000;9821.7175;9585.9962;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.0000;1;0.0000;0.0000;0.0000;0;0.0000;10233245;30;63.4000;0.0000;3074.40;1.0000000000;44.552654;135.563381;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042155;Дальневосточный банк;Приморское отд. №8635;7000/1/1067;В пользовании;7718/047/8635/0281-с г.Дальнегорск бульвар Полины Осипенко 44А;Здание/помещение  (нежилое);2002-12-31;9999-12-31;Д – город с населением <100 тыс. жителей;25;край Приморский;;г Дальнегорск;;;;ул Осипенко;зд44а;Собственность;01;Договор купли-продажи;Объекты в плане следующих лет;;;;;;ГРУППА D. Прочие;;;;Нет;2026-01-14;2026-12-31;B;Кассово-инкассаторский центр;"ДО №8635/0313 КИЦ ""Дальнегорск""";Сервисы;Используется;04;Гаражный;Гаражный холодный;1.057,35;20;04;01;Служебное;X;;-;;0000000000;7000;IB70000000000100001067;02;I000000000000000825494;08;8635;08;127.0000;531.5000;205.0000;0.0000;0.0000;0.0000;418.5039;161.4173;0.0000;0.0000;3759.7043;3669.4715;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.0000;1;0.0000;0.0000;0.0000;0;0.0000;10233245;30;127.0000;0.0000;1057.35;1.0000000000;44.552654;135.563381;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042171;Волго-Вятский банк;Чувашское отд. №8613;4200/1/3693;В пользовании;ДО № 8613/0300;Здание/помещение  (нежилое);2016-07-13;9999-12-31;Д – город с населением <100 тыс. жителей;21;Чувашия Чувашская Ре;р-н Цивильский;г Цивильск;;;;ул Никитина;2Б;Собственность;01;Договор купли-продажи;Переформатирование завершено;2022-08-05;2022-11-15;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;B;ВСП РБ: Универсальное;Дополнительный офис №8613/0300;Сеть продаж;Используется;04;Ритейл;Ритейл - стритритейл, ВПП;9.333,45;37;01;01;Служебное;X;;1,2000000000;X;0000000000;4200;IB42000000000100003693;04;I000000000000000839321;06;8613;06;622.6000;602.0000;20.6000;0.0000;122.8400;0.0000;96.6913;3.3087;13.0000;0.0000;26132.9848;25415.3742;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;56.6000;1;0.0000;0.0000;36.6500;0;0.0000;10199964;38;403.1500;11.0000;9333.45;1.2000000000;55.863400;47.469848;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042172;Среднерусский банк;Восточное Головное отд. №1023;4000/1/3467;В пользовании;Залог (квартира) Московская область, г. Орехово-Зуево, ул. Кирова, д.25Б, кв.32;;2017-03-10;9999-12-31;Д – город с населением <100 тыс. жителей;50;обл Московская;;г Орехово-Зуево;;;;ул Кирова;25б;Собственность;01;Урегулирование задолженности;;;;;;;ГРУППА D. Прочие;;;;Нет;2026-01-01;2026-12-31;D;Жилой фонд;Отдел судебного и исполнит. производства;Подразделение по работе с проблемными активами;Имущество в управлении УРПА;04;Жилой;Жилой;0,00;23;04;00;;;;-;;0000000000;4000;IB40000000000100003467;;I000000000000000825894;10;1023;10;46.0000;46.0000;0.0000;0.0000;0.0000;0.0000;100.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.0000;1;0.0000;0.0000;0.0000;0;0.0000;10295505;27;46.0000;0.0000;0.00;1.0000000000;55.819849;39.014882;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042181;Московский банк;Московский банк;3800/1/1499;В пользовании;УДО ВСП № 173, 01675 ф б-р Зубовский 13стр1 (1 из 3х_178, 1500)_МКД;Здание/помещение  (нежилое);1994-06-24;9999-12-31;М – город с населением >=1000 тыс. жителей;77;г Москва;;г Москва;Хамовники;;;б-р Зубовский;13стр1;Собственность;01;Договор купли-продажи;;2012-07-24;2012-12-19;;;;ГРУППА A. Бизнес;;;;Нет;2026-01-16;2026-01-31;B;ВСП РБ: ЦПО;Центр персонального обслуживания;Развитие клиентского опыта B2C;Используется;01;Ритейл;Ритейл - стритритейл, ВПП;46.664,00;47;01;01;Служебное;X;;1,2000000000;X;0000000000;3800;IB38000000000100001499;;I000000000000000833785;06;3800;06;242.1000;1272.4000;0.0000;0.0000;36.9000;0.0000;525.5679;0.0000;0.0000;0.0000;65073.4648;63511.7017;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;22.0091;1;0.0000;0.0000;20.0780;0;0.0000;10356604;40;200.7800;10.0000;46664.00;1.2000000000;55.735963;37.592526;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042182;Московский банк;Московский банк;3800/1/1500;В пользовании;УДО ВСП № 173, 01675 ф б-р Зубовский 13стр1 (1 из 3х_178,1499)_МКД;Здание/помещение  (нежилое);1994-11-29;9999-12-31;М – город с населением >=1000 тыс. жителей;77;г Москва;;г Москва;Хамовники;;;б-р Зубовский;13стр1;Собственность;01;Договор мены;Переформатирование завершено;2012-07-24;2012-12-19;;;;ГРУППА A. Бизнес;;;;Нет;2026-01-16;2026-01-31;B;Иные;УДО № 9038/01675;Сеть продаж;Используется;01;Ритейл;Ритейл - стритритейл, ВПП;46.664,00;27;01;01;Служебное;X;;1,2000000000;X;0000000000;3800;IB38000000000100001500;;I000000000000000833785;06;3800;06;252.6000;1272.4000;0.0000;0.0000;0.0000;0.0000;503.7213;0.0000;0.0000;0.0000;116098.2752;113611.0318;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15.7875;1;0.0000;0.0000;7.7663;0;0.0000;10280860;38;124.2600;16.0000;46664.00;1.2000000000;55.735963;37.592526;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042201;Волго-Вятский банк;Нижегородское отд. №9042;4200/1/3696;В пользовании;ДО№ 9042/0102;Здание/помещение  (нежилое);2013-06-07;9999-12-31;М – город с населением >=1000 тыс. жителей;52;обл Нижегородская;;г Нижний Новгород;Нижегородский;;;ул Октябрьская;33;Собственность;01;Договор купли-продажи;Переформатирование завершено;2013-01-28;2013-09-30;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;A;ВСП РБ: Подразделение по обслуживанию значимых кли;Дополнительный офис № 9042/0102;Развитие клиентского опыта B2C;Используется;01;Ритейл;Ритейл - стритритейл, ВПП;9.378,60;03;01;01;Служебное;X;;1,2000000000;X;0000000000;4200;IB42000000000100003696;02;I000000000000000838340;06;9042;06;170.2000;1177.6000;0.0000;0.0000;0.0000;0.0000;691.8919;0.0000;0.0000;0.0000;24359.4364;21882.2054;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;85.1000;1;0.0000;0.0000;85.1000;0;0.0000;10205278;40;170.2000;2.0000;9378.60;1.2000000000;56.322272;44.008468;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042211;Волго-Вятский банк;Нижегородское отд. №9042;4200/1/3697;В пользовании;ДО № 9042/0102;Здание/помещение  (нежилое);2013-06-06;9999-12-31;М – город с населением >=1000 тыс. жителей;52;обл Нижегородская;;г Нижний Новгород;Нижегородский;;;ул Октябрьская;33;Собственность;01;Договор купли-продажи;Переформатирование завершено;2013-01-28;2013-09-30;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;A;ВСП РБ: Подразделение по обслуживанию значимых кли;Дополнительный офис № 9042/0102;Развитие клиентского опыта B2C;Используется;01;Ритейл;Ритейл - стритритейл, ВПП;9.378,60;03;01;01;Служебное;X;;1,2000000000;X;0000000000;4200;IB42000000000100003697;02;I000000000000000838340;06;9042;06;19.0000;1177.6000;0.0000;0.0000;0.0000;0.0000;6197.8947;0.0000;0.0000;0.0000;2719.3260;2442.7846;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.0000;1;0.0000;0.0000;0.0000;0;0.0000;10205278;40;19.0000;0.0000;9378.60;1.2000000000;56.322272;44.008468;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
IB00100042231;Волго-Вятский банк;Нижегородское отд. №9042;4200/1/3698;В пользовании;ДО № 9042/0102;Здание/помещение  (нежилое);2013-06-06;9999-12-31;М – город с населением >=1000 тыс. жителей;52;обл Нижегородская;;г Нижний Новгород;Нижегородский;;;ул Октябрьская;33;Собственность;01;Договор купли-продажи;Переформатирование завершено;2013-01-28;2013-09-30;;;Розничный бизнес;ГРУППА A. Бизнес;;;;Нет;2026-01-01;2026-12-31;A;ВСП РБ: Подразделение по обслуживанию значимых кли;Дополнительный офис № 9042/0102;Развитие клиентского опыта B2C;Используется;01;Ритейл;Ритейл - стритритейл, ВПП;9.378,60;03;01;01;Служебное;X;;1,2000000000;X;0000000000;4200;IB42000000000100003698;02;I000000000000000838340;06;9042;06;18.5000;1177.6000;0.0000;0.0000;0.0000;0.0000;6365.4054;0.0000;0.0000;0.0000;2647.7648;2378.5007;0.0000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.0000;1;0.0000;0.0000;0.0000;0;0.0000;10205278;40;18.5000;0.0000;9378.60;1.2000000000;56.322272;44.008468;I;2026.01.23 00:01:35.748;;;asun_glut_2026-01-22_06-00-00_0.avro;asun_glut_2026-01-22_06-00-00_0.avro;48584872
